1: [('М', 0.83465), ('И', 0.695875), ('Й', 0.604166), ('К', 0.573109), ('Ю', 0.514327), ('Ы', 0.513206), ('Қ', 0.512443), ('В', 0.488104), ('Ж', 0.4851), ('О', 0.476483), ('Я', 0.465565), ('Б', 0.456181), ('Р', 0.454395), ('Н', 0.448558), ('Ү', 0.446559), ('П', 0.444957), ('Л', 0.442688), ('У', 0.441529), ('Ь', 0.438504), ('Ө', 0.435115), ('Х', 0.434973), ('Һ', 0.434083), ('Ш', 0.432946), ('Ф', 0.431207), ('Ч', 0.429758), ('Е', 0.422509), ('Ә', 0.420302), ('Ң', 0.418056), ('С', 0.412084), ('Ё', 0.411445), ('Э', 0.411155), ('Ұ', 0.409549), ('Ъ', 0.409538), ('Д', 0.404346), ('З', 0.403462), ('Ц', 0.399903), ('Щ', 0.396587), ('А', 0.389379), ('Г', 0.387288), ('І', 0.383517), ('Ғ', 0.376007), ('Т', 0.356198)]
2: [('Е', 0.879025), ('Б', 0.675203), ('В', 0.591436), ('С', 0.57795), ('Г', 0.568997), ('Ь', 0.556008), ('Р', 0.554909), ('Ё', 0.552266), ('О', 0.517509), ('Һ', 0.499017), ('Ы', 0.498886), ('Ө', 0.496439), ('П', 0.495739), ('Қ', 0.492256), ('Э', 0.490143), ('Ә', 0.48998), ('Н', 0.479865), ('З', 0.47738), ('Ю', 0.47531), ('Ғ', 0.465984), ('Ш', 0.463046), ('У', 0.460412), ('Я', 0.45769), ('Д', 0.457609), ('Ц', 0.456007), ('Ъ', 0.454543), ('І', 0.444673), ('Ң', 0.444194), ('К', 0.439664), ('Щ', 0.439304), ('Ч', 0.436853), ('Ү', 0.436843), ('Т', 0.434105), ('Ұ', 0.433149), ('Л', 0.431757), ('Й', 0.421191), ('Ф', 0.418724), ('А', 0.415439), ('М', 0.414933), ('И', 0.407822), ('Ж', 0.394622), ('Х', 0.394159)]
3: [('Н', 0.903023), ('Һ', 0.643422), ('П', 0.642735), ('Ы', 0.629034), ('Ч', 0.588399), ('Ь', 0.544714), ('О', 0.543708), ('Қ', 0.536484), ('Ц', 0.528636), ('Ө', 0.52753), ('Р', 0.522508), ('В', 0.521648), ('Ң', 0.517686), ('Ә', 0.508605), ('Б', 0.500002), ('Я', 0.49908), ('Щ', 0.497519), ('Ю', 0.497504), ('Ш', 0.487056), ('Э', 0.48374), ('Л', 0.48316), ('Й', 0.480447), ('Е', 0.479229), ('Д', 0.476534), ('И', 0.475957), ('С', 0.475213), ('Г', 0.469495), ('З', 0.457107), ('Ф', 0.456796), ('Ё', 0.456764), ('М', 0.447037), ('Ъ', 0.427928), ('К', 0.413398), ('У', 0.407624), ('Ү', 0.404935), ('Ұ', 0.404828), ('Ғ', 0.403282), ('Т', 0.400606), ('А', 0.39306), ('І', 0.377632), ('Ж', 0.369712), ('Х', 0.349833)]
4: [('С', 0.918447), ('О', 0.629686), ('Г', 0.582855), ('Е', 0.578399), ('Б', 0.578049), ('Р', 0.572539), ('З', 0.567806), ('В', 0.557303), ('Ь', 0.552742), ('Ө', 0.55048), ('Э', 0.549837), ('Ё', 0.549217), ('Ә', 0.544366), ('Д', 0.525516), ('У', 0.518289), ('Қ', 0.516389), ('Һ', 0.513098), ('Ю', 0.512931), ('Ц', 0.506082), ('Ғ', 0.504111), ('П', 0.502045), ('Ъ', 0.500503), ('Я', 0.498487), ('Т', 0.497403), ('Ұ', 0.493854), ('Щ', 0.488192), ('Ы', 0.487058), ('Ң', 0.485682), ('Л', 0.482835), ('Ч', 0.481311), ('Н', 0.479441), ('Ф', 0.479413), ('Ү', 0.477274), ('І', 0.470264), ('А', 0.467631), ('Ш', 0.465344), ('К', 0.430262), ('Й', 0.418763), ('Х', 0.413299), ('Ж', 0.409973), ('М', 0.409158), ('И', 0.403728)]
5: [('Е', 0.879025), ('Б', 0.675203), ('В', 0.591436), ('С', 0.57795), ('Г', 0.568997), ('Ь', 0.556008), ('Р', 0.554909), ('Ё', 0.552266), ('О', 0.517509), ('Һ', 0.499017), ('Ы', 0.498886), ('Ө', 0.496439), ('П', 0.495739), ('Қ', 0.492256), ('Э', 0.490143), ('Ә', 0.48998), ('Н', 0.479865), ('З', 0.47738), ('Ю', 0.47531), ('Ғ', 0.465984), ('Ш', 0.463046), ('У', 0.460412), ('Я', 0.45769), ('Д', 0.457609), ('Ц', 0.456007), ('Ъ', 0.454543), ('І', 0.444673), ('Ң', 0.444194), ('К', 0.439664), ('Щ', 0.439304), ('Ч', 0.436853), ('Ү', 0.436843), ('Т', 0.434105), ('Ұ', 0.433149), ('Л', 0.431757), ('Й', 0.421191), ('Ф', 0.418724), ('А', 0.415439), ('М', 0.414933), ('И', 0.407822), ('Ж', 0.394622), ('Х', 0.394159)]
6: [('Н', 0.903023), ('Һ', 0.643422), ('П', 0.642735), ('Ы', 0.629034), ('Ч', 0.588399), ('Ь', 0.544714), ('О', 0.543708), ('Қ', 0.536484), ('Ц', 0.528636), ('Ө', 0.52753), ('Р', 0.522508), ('В', 0.521648), ('Ң', 0.517686), ('Ә', 0.508605), ('Б', 0.500002), ('Я', 0.49908), ('Щ', 0.497519), ('Ю', 0.497504), ('Ш', 0.487056), ('Э', 0.48374), ('Л', 0.48316), ('Й', 0.480447), ('Е', 0.479229), ('Д', 0.476534), ('И', 0.475957), ('С', 0.475213), ('Г', 0.469495), ('З', 0.457107), ('Ф', 0.456796), ('Ё', 0.456764), ('М', 0.447037), ('Ъ', 0.427928), ('К', 0.413398), ('У', 0.407624), ('Ү', 0.404935), ('Ұ', 0.404828), ('Ғ', 0.403282), ('Т', 0.400606), ('А', 0.39306), ('І', 0.377632), ('Ж', 0.369712), ('Х', 0.349833)]
7: [('І', 0.956202), ('Т', 0.517175), ('Ұ', 0.50776), ('У', 0.493552), ('Ъ', 0.492875), ('Ү', 0.492531), ('А', 0.489616), ('З', 0.47958), ('Э', 0.47335), ('С', 0.472341), ('Б', 0.45343), ('Е', 0.449757), ('Д', 0.448118), ('В', 0.446702), ('Ғ', 0.445662), ('Ә', 0.444879), ('Л', 0.444372), ('Х', 0.44314), ('О', 0.442717), ('Ф', 0.442487), ('Я', 0.441896), ('Ю', 0.437365), ('Ё', 0.433082), ('Ө', 0.432368), ('Ш', 0.431991), ('Ж', 0.430487), ('Қ', 0.428354), ('Щ', 0.421166), ('Р', 0.418434), ('Ь', 0.417971), ('Ы', 0.411487), ('Г', 0.400366), ('К', 0.399467), ('П', 0.392365), ('Ч', 0.390027), ('Һ', 0.38888), ('Ц', 0.386334), ('М', 0.385821), ('Ң', 0.381898), ('Й', 0.380752), ('Н', 0.377761), ('И', 0.367019)]
8: [('Ж', 0.894226), ('Ү', 0.578029), ('К', 0.537242), ('Х', 0.498293), ('М', 0.493757), ('У', 0.493363), ('Ф', 0.482749), ('Ұ', 0.478355), ('И', 0.475766), ('О', 0.463614), ('Й', 0.46037), ('Ю', 0.460297), ('Қ', 0.454608), ('В', 0.451415), ('Я', 0.45116), ('І', 0.438118), ('Б', 0.435117), ('Ъ', 0.432573), ('З', 0.43002), ('Л', 0.427578), ('Ө', 0.426404), ('С', 0.425257), ('Э', 0.42432), ('А', 0.420734), ('Р', 0.420401), ('Ә', 0.420173), ('Ы', 0.419201), ('Д', 0.410453), ('Ь', 0.410134), ('Е', 0.407751), ('Ш', 0.406507), ('Ғ', 0.403139), ('Т', 0.401896), ('Ё', 0.401082), ('Ң', 0.396625), ('Ч', 0.390923), ('Һ', 0.388947), ('Щ', 0.388654), ('П', 0.383057), ('Ц', 0.3825), ('Н', 0.379977), ('Г', 0.372864)]
9: [('А', 0.915712), ('У', 0.581618), ('Ұ', 0.573206), ('Ә', 0.512971), ('З', 0.510487), ('Ө', 0.508786), ('Д', 0.501785), ('Э', 0.498547), ('Х', 0.498004), ('О', 0.485938), ('І', 0.481055), ('Ф', 0.474852), ('Ъ', 0.473845), ('С', 0.472434), ('Ү', 0.460955), ('Ё', 0.460689), ('Я', 0.460289), ('В', 0.459577), ('Қ', 0.449019), ('Б', 0.447196), ('Ь', 0.439396), ('Ю', 0.439016), ('Р', 0.436393), ('Л', 0.43065), ('Ц', 0.427545), ('Ғ', 0.426363), ('Щ', 0.424099), ('Ң', 0.424007), ('Е', 0.423418), ('Т', 0.42235), ('Ы', 0.42063), ('Ч', 0.418162), ('Һ', 0.412051), ('Й', 0.411778), ('Ж', 0.410861), ('Н', 0.399191), ('Ш', 0.396126), ('К', 0.393845), ('М', 0.39222), ('Г', 0.390583), ('П', 0.389652), ('И', 0.383803)]
10: [('Қ', 0.933197), ('Р', 0.608558), ('Ю', 0.568814), ('В', 0.567207), ('О', 0.56075), ('Һ', 0.55589), ('К', 0.543398), ('Ң', 0.540905), ('Ь', 0.540287), ('Б', 0.539044), ('Ц', 0.538747), ('Ы', 0.538068), ('Н', 0.535065), ('П', 0.531186), ('Щ', 0.521951), ('Ф', 0.519153), ('Ө', 0.516481), ('И', 0.513341), ('М', 0.511679), ('С', 0.506685), ('Й', 0.503831), ('Ү', 0.501439), ('Д', 0.501266), ('Ч', 0.500512), ('Г', 0.498205), ('Ұ', 0.494246), ('Е', 0.493397), ('Ә', 0.492831), ('У', 0.487547), ('Я', 0.480476), ('Ё', 0.478768), ('Л', 0.465783), ('Э', 0.463754), ('Ш', 0.462074), ('З', 0.461687), ('Ж', 0.446989), ('Ъ', 0.445008), ('А', 0.444969), ('Т', 0.434967), ('Ғ', 0.431528), ('І', 0.42789), ('Х', 0.418908)]
11: [('С', 0.918447), ('О', 0.629686), ('Г', 0.582855), ('Е', 0.578399), ('Б', 0.578049), ('Р', 0.572539), ('З', 0.567806), ('В', 0.557303), ('Ь', 0.552742), ('Ө', 0.55048), ('Э', 0.549837), ('Ё', 0.549217), ('Ә', 0.544366), ('Д', 0.525516), ('У', 0.518289), ('Қ', 0.516389), ('Һ', 0.513098), ('Ю', 0.512931), ('Ц', 0.506082), ('Ғ', 0.504111), ('П', 0.502045), ('Ъ', 0.500503), ('Я', 0.498487), ('Т', 0.497403), ('Ұ', 0.493854), ('Щ', 0.488192), ('Ы', 0.487058), ('Ң', 0.485682), ('Л', 0.482835), ('Ч', 0.481311), ('Н', 0.479441), ('Ф', 0.479413), ('Ү', 0.477274), ('І', 0.470264), ('А', 0.467631), ('Ш', 0.465344), ('К', 0.430262), ('Й', 0.418763), ('Х', 0.413299), ('Ж', 0.409973), ('М', 0.409158), ('И', 0.403728)]
